run_index,profile_name,hybrid_rank,product_id,product_name,category,hybrid_score,q_component,topsis_component,dominant_branch,in_ground_truth_top7,top_shap_features,linear_sanity_check_features
0,balanced,1,B07KSMBL2H,"AmazonBasics Flexible Premium HDMI Cable (Black, 4K@60Hz, 18Gbps), 3-Foot",Electronics,0.9999999998142215,0.4999999998780889,0.49999999993613253,TOPSIS,True,not_sampled,popularity_pct=+0.0685; quality_pct=+0.0629; price_pct=+0.0598; rating_count=+0.0507; rating_pct=+0.0502
0,balanced,2,B00NNQMYNE,"AirCase Rugged Hard Drive Case for 2.5-inch Western Digital, Seagate, Toshiba, Portable Storage Shell for Gadget Hard Disk USB Cable Power Bank Mobile Charger E",Computers,0.7885860025053568,0.311825288287347,0.47676071421800986,TOPSIS,True,not_sampled,rating_pct=+0.0611; quality_pct=+0.0577; popularity_pct=+0.0490; price_pct=+0.0476; recency_pct=-0.0052
0,balanced,3,B07Q4QV1DL,"ELV Aluminum Adjustable Mobile Phone Foldable Tabletop Stand Dock Mount for All Smartphones, Tabs, Kindle, iPad (Black)",Electronics,0.7783873012491067,0.28576659146896416,0.49262070978014255,TOPSIS,True,not_sampled,rating_pct=+0.0611; quality_pct=+0.0583; popularity_pct=+0.0548; price_pct=+0.0534; recency_pct=+0.0311
0,balanced,4,B08NCKT9FG,Boat A 350 Type C Cable 1.5m(Jet Black),Computers,0.761498768341623,0.2911441766215782,0.47035459172004485,TOPSIS,True,not_sampled,popularity_pct=+0.0545; quality_pct=+0.0541; rating_pct=+0.0502; price_pct=+0.0476; recency_pct=+0.0191
0,balanced,5,B075ZTJ9XR,"AmazonBasics High-Speed Braided HDMI Cable - 3 Feet - Supports Ethernet, 3D, 4K and Audio Return (Black)",Electronics,0.7541845942526672,0.27100257956100804,0.4831820146916591,TOPSIS,True,not_sampled,popularity_pct=+0.0593; quality_pct=+0.0554; price_pct=+0.0534; rating_pct=+0.0502; recency_pct=+0.0133
0,balanced,6,B003L62T7W,"Logitech B100 Wired USB Mouse, 3 yr Warranty, 800 DPI Optical Tracking, Ambidextrous PC/Mac/Laptop - Black",Computers,0.7508833899337841,0.30024557964863985,0.45063781028514427,TOPSIS,True,not_sampled,popularity_pct=+0.0565; quality_pct=+0.0522; price_pct=+0.0518; rating_pct=+0.0324; recency_pct=-0.0173
0,balanced,7,B08CT62BM1,"Wayona USB Type C Fast Charging Cable Charger Cord 3A QC 3.0 Data Cable Compatible with Samsung Galaxy S10e S10 S9 S8 S20 Plus, Note 10 9 8, M51 A40 A50 A70, Mo",Computers,0.636875198530235,0.3144606302967291,0.3224145682335059,TOPSIS,False,not_sampled,price_pct=+0.0476; rating_pct=+0.0324; quality_pct=+0.0280; recency_pct=+0.0242; popularity_pct=-0.0216
0,budget,1,B07DKZCZ89,"Gizga Essentials Earphone Carrying Case, Multi-Purpose Pocket Storage Travel Organizer for Earphones, Headset, Pen Drives, SD Cards, Shock-Proof Ballistic Nylon",Electronics,0.9469996110555928,0.4970128783937071,0.4499867326618857,RL,True,not_sampled,price_pct=+0.0735; quality_pct=+0.0496; popularity_pct=+0.0424; rating_pct=+0.0324; recency_pct=+0.0281
0,budget,2,B07KSMBL2H,"AmazonBasics Flexible Premium HDMI Cable (Black, 4K@60Hz, 18Gbps), 3-Foot",Electronics,0.9434086781587767,0.4434086782226441,0.49999999993613253,TOPSIS,True,quality_pct=+0.2200; price_pct=+0.0964; review_text_richness=+0.0214; rating_pct=+0.0118; recency_pct=+0.0098,popularity_pct=+0.0685; quality_pct=+0.0629; price_pct=+0.0598; rating_count=+0.0507; rating_pct=+0.0502
0,budget,3,B07N8RQ6W7,Portronics MODESK POR-122 Universal Mobile Tabletop Holder (Black),Electronics,0.8402394002743403,0.4910128310770974,0.3492265691972428,RL,False,not_sampled,price_pct=+0.0717; popularity_pct=+0.0455; recency_pct=+0.0306; quality_pct=+0.0103; discount_pct=-0.0097
0,budget,4,B07H3WDC4X,"Simxen Egg Boiler Electric Automatic Off 7 Egg Poacher for Steaming, Cooking Also Boiling and Frying 400 W (Blue, Pink)",HomeKitchen,0.8290666843049879,0.4960694361961395,0.3329972481088483,RL,False,not_sampled,popularity_pct=+0.0445; price_pct=+0.0408; quality_pct=+0.0395; rating_pct=-0.0269; recency_pct=+0.0206
0,budget,5,B00VA7YYUO,Apsara Platinum Pencils Value Pack - Pack of 20,HomeKitchen,0.8229262515757056,0.4999999998877337,0.32292625168797195,RL,True,not_sampled,price_pct=+0.0753; rating_pct=+0.0324; recency_pct=-0.0288; discount_pct=+0.0128; quality_pct=-0.0124
